fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
adjust_kneecap_r	adjust_kneecap_R	C	Low			recognizable word(s) present: ['generic_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
adjust_knuckle_a_l	adjust_knuckle_A_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_knuckle_a_r	adjust_knuckle_A_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_knuckle_b_l	adjust_knuckle_B_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_knuckle_b_r	adjust_knuckle_B_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_knuckle_c_l	adjust_knuckle_C_L	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_knuckle_c_r	adjust_knuckle_C_R	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_shoulder_l	adjust_shoulder_L	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_shoulder_r	adjust_shoulder_R	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_waist_l	adjust_waist_L	A	High	groupFile/Body				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_waist_r	adjust_waist_R	A	High	groupFile/Body				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_wrist_l	adjust_wrist_L	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adjust_wrist_r	adjust_wrist_R	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
adrenaline_cap	adrenaline_cap	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
adrenaline_injectbutton	adrenaline_injectbutton	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
adrenaline_needle	adrenaline_needle	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
adrenaline_wing1	adrenaline_wing1	B	Medium		referent word(s): ['wing'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
adrenaline_wing2	adrenaline_wing2	B	Medium		referent word(s): ['wing'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
aerola small	aerola small	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
aerola up	aerola up	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
aerolaperk	aerolaPerk	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
